Land,CED-Inzidenzrate,Suizid-Inzidenzrate,Dichte der Fast-Food Restaurants
Romania,1.47,10.50,3.18
Estonia,3.10,13.60,10.07
Greece,3.60,3.80,11.26
Portugal,6.60,8.20,4.59
Belgium,8.10,14.20,17.47
France,10.10,12.30,12.23
Germany,10.50,9.20,29.15
Croatia,11.10,11.60,12.33
Italy,11.43,4.70,6.72
Netherlands,13.90,8.20,21.59
Spain,14.40,5.10,5.64
United Kingdom,20.50,6.20,20.74
Ireland,20.70,11.00,33.34
Hungary,20.80,19.10,16.85
Norway,20.95,9.10,12.77
Iceland,22.00,14.00,68.02
Denmark,22.00,8.80,89.11
Finland,23.70,14.80,27.42
Sweden,25.80,11.10,30.05